GRD_ID,totalpop_1km,students_1km,mobile_adults_1km,elderly_1km,births_1km,deaths_1km,marriagesM_1km,marriagesF_1km,tert_education_1km,rich_new_1km,poor_new_1km
"4472000","1646","88","350","281","17","11","7","7","855","452","15"
"4473000","122","11","27","18","2","0","0","0","39","20","5"
"4474000","2337","130","536","424","32","10","13","12","1057","470","99"
"4475000","3378","399","861","430","63","18","26","26","1602","359","300"
"4476000","6762","1040","1456","1022","83","74","37","38","2777","526","1000"
"4477000","5097","1078","1251","640","70","36","29","29","2812","704","639"
"4478000","4780","661","1011","735","58","38","25","26","2772","938","526"
"4479000","11901","3266","3023","1084","175","65","80","84","5386","334","2228"
"4480000","14955","4934","4121","1078","247","78","127","122","7945","477","2919"
"4481000","11449","2883","2942","1194","156","67","102","103","6426","722","1807"
"4482000","16359","4569","3751","1953","244","123","120","123","10663","1688","2504"
"4483000","19301","5405","4872","1842","285","90","144","144","13131","2501","2470"
"4484000","2399","382","752","102","59","4","41","37","1842","1211","115"
"4467000","487","41","120","17","5","0","2","2","97","14","21"
"4468000","2217","206","416","311","27","13","9","9","664","334","103"
"4469000","3197","581","569","658","39","40","9","8","640","62","450"
"4470000","362","54","105","35","2","2","1","1","172","47","28"
"4471000","3718","469","621","944","36","48","18","17","1281","355","217"
"4472000","3443","404","615","882","37","95","15","16","967","195","261"
"4473000","599","75","126","122","10","4","4","3","217","25","35"
"4474000","5220","982","1202","690","67","36","27","25","1912","279","526"
"4475000","4054","611","969","548","69","21","24","22","1706","389","385"
"4476000","5753","791","1050","1200","61","198","37","26","1723","213","800"
"4477000","5897","1108","1334","546","93","39","20","18","1891","25","1576"
"4478000","1086","81","198","143","12","2","3","3","837","511","53"
"4479000","723","58","146","122","7","1","3","3","525","266","46"
"4480000","6719","1336","1399","1240","61","103","26","29","2820","470","1234"
"4481000","5051","1121","1017","746","59","28","22","20","2255","376","745"
"4482000","8084","1971","1833","1079","98","71","56","49","5077","1178","1004"
